record_number,order_id,ordered_at,channel,status,quantity,unit_price,shipping_days,unit_price_cents,order_value_cents,channel_missing
1,F-0001,2026-08-01,Unknown,paid,5,29.00,,2900,14500,True
2,F-0002,2026-08-01,Marketplace,paid,1,19.95,4.1,1995,1995,False
4,F-0004,2026-08-01,Direct,paid,4,19.95,1.9,1995,7980,False
5,F-0005,2026-08-01,Direct,paid,1,89.99,1.4,8999,8999,False
6,F-0006,2026-08-01,Direct,paid,2,19.95,2.9,1995,3990,False
7,F-0007,2026-08-01,Marketplace,refunded,1,89.99,,8999,8999,False
8,F-0008,2026-08-01,Partner,paid,4,49.50,3.6,4950,19800,False
9,F-0009,2026-08-02,Direct,paid,2,12.50,1.8,1250,2500,False
10,F-0010,2026-08-02,Direct,paid,5,89.99,3.0,8999,44995,False
11,F-0011,2026-08-02,Direct,paid,1,12.50,0.7,1250,1250,False
12,F-0012,2026-08-02,Marketplace,paid,5,12.50,3.1,1250,6250,False
13,F-0013,2026-08-02,Marketplace,paid,1,12.50,4.8,1250,1250,False
14,F-0014,2026-08-02,Marketplace,paid,3,19.95,4.7,1995,5985,False
15,F-0015,2026-08-02,Direct,pending,3,29.00,,2900,8700,False
16,F-0016,2026-08-02,Direct,paid,1,49.50,1.7,4950,4950,False
17,F-0017,2026-08-03,Direct,paid,4,29.00,1.9,2900,11600,False
19,F-0019,2026-08-03,Direct,refunded,2,12.50,,1250,2500,False
20,F-0020,2026-08-03,Unknown,paid,1,89.99,2.7,8999,8999,True
21,F-0021,2026-08-03,Direct,paid,1,49.50,4.4,4950,4950,False
22,F-0022,2026-08-03,Marketplace,paid,3,89.99,4.0,8999,26997,False
23,F-0023,2026-08-03,Marketplace,paid,1,19.95,4.3,1995,1995,False
24,F-0024,2026-08-03,Direct,paid,3,29.00,,2900,8700,False
25,F-0025,2026-08-04,Direct,paid,4,12.50,3.5,1250,5000,False
26,F-0026,2026-08-04,Direct,paid,3,29.00,0.5,2900,8700,False
27,F-0027,2026-08-04,Direct,paid,3,49.50,1.6,4950,14850,False
28,F-0028,2026-08-04,Direct,paid,5,29.00,2.7,2900,14500,False
30,F-0030,2026-08-04,Marketplace,paid,4,19.95,2.6,1995,7980,False
31,F-0031,2026-08-04,Direct,paid,2,49.50,2.0,4950,9900,False
32,F-0032,2026-08-04,Direct,paid,5,49.50,3.2,4950,24750,False
33,F-0033,2026-08-05,Marketplace,paid,1,29.00,4.6,2900,2900,False
34,F-0034,2026-08-05,Marketplace,pending,4,19.95,,1995,7980,False
35,F-0035,2026-08-05,Direct,paid,4,12.50,3.6,1250,5000,False
36,F-0036,2026-08-05,Marketplace,pending,4,49.50,,4950,19800,False
37,F-0037,2026-08-05,Marketplace,paid,5,89.99,4.0,8999,44995,False
38,F-0038,2026-08-05,Marketplace,paid,1,29.00,3.2,2900,2900,False
39,F-0039,2026-08-05,Unknown,refunded,1,29.00,,2900,2900,True
41,F-0041,2026-08-06,Marketplace,paid,4,19.95,5.6,1995,7980,False
42,F-0042,2026-08-06,Direct,paid,2,49.50,1.4,4950,9900,False
43,F-0043,2026-08-06,Marketplace,paid,2,12.50,5.2,1250,2500,False
44,F-0044,2026-08-06,Marketplace,refunded,2,29.00,,2900,5800,False
45,F-0045,2026-08-06,Direct,pending,3,49.50,,4950,14850,False
46,F-0046,2026-08-06,Marketplace,paid,2,29.00,4.7,2900,5800,False
