ordered_at,orders,paid_value_cents
2026-08-01,6,57264
2026-08-02,7,67180
2026-08-03,6,63241
2026-08-04,7,85680
2026-08-05,4,55795
2026-08-06,5,28175
2026-08-07,6,74550
2026-08-08,5,41300
2026-08-09,7,130781
2026-08-10,6,98121
2026-08-11,5,103843
2026-08-12,6,51148
2026-08-13,6,1062872
2026-08-14,6,66847
2026-08-15,6,64075
2026-08-16,6,124221
2026-08-17,6,32135
2026-08-18,6,100941
2026-08-19,7,85960
2026-08-20,6,68725
2026-08-21,5,31150
2026-08-22,8,129871
2026-08-23,7,44325
2026-08-24,6,53357
2026-08-25,6,34800
2026-08-26,6,28124
2026-08-27,5,77623
2026-08-28,7,73600
2026-08-29,5,103816
2026-08-30,6,42245
