order_id,ordered_at,channel,status,quantity,unit_price,shipping_days
F-0001,2026-08-01,, PAID ,5,29.00,
F-0002,2026-08-01,Marketplace,paid,1,19.95,4.1
,2026-08-01,Direct,pending,1,12.50,
F-0004,2026-08-01,Direct,paid,4,19.95,1.9
F-0005,2026-08-01,Direct,paid,1,89.99,1.4
F-0006,2026-08-01,Direct,paid,2,19.95,2.9
F-0007,2026-08-01,Marketplace,refunded,1,89.99,
F-0008,2026-08-01,Partner,paid,4,49.50,3.6
F-0009,2026-08-02,Direct,paid,2,12.50,1.8
F-0010,2026-08-02,Direct,paid,5,89.99,3.0
F-0011,2026-08-02,Direct,paid,1,12.50,0.7
F-0012,2026-08-02, marketplace ,paid,5,12.50,3.1
F-0013,2026-08-02,Marketplace,paid,1,12.50,4.8
F-0014,2026-08-02,Marketplace, PAID ,3,19.95,4.7
F-0015,2026-08-02,Direct,pending,3,29.00,
F-0016,2026-08-02,Direct,paid,1,49.50,1.7
F-0017,2026-08-03,Direct,paid,4,29.00,1.9
F-0018,2026-02-30,Direct,paid,5,12.50,2.8
F-0019,2026-08-03,Direct,refunded,2,12.50,
F-0020,2026-08-03,,paid,1,89.99,2.7
F-0021,2026-08-03,Direct,paid,1,49.50,4.4
F-0022,2026-08-03,Marketplace,paid,3,89.99,4.0
F-0023,2026-08-03, marketplace ,paid,1,19.95,4.3
F-0024,2026-08-03,Direct,paid,3,29.00,
F-0025,2026-08-04,Direct,paid,4,12.50,3.5
F-0026,2026-08-04,Direct,paid,3,29.00,0.5
F-0027,2026-08-04,Direct, PAID ,3,49.50,1.6
F-0028,2026-08-04,Direct,paid,5,29.00,2.7
F-0029,2026-08-04,Marketplace,paid,-1,19.95,5.1
F-0030,2026-08-04,Marketplace,paid,4,19.95,2.6
F-0031,2026-08-04,Direct,paid,2,49.50,2.0
F-0032,2026-08-04,Direct,paid,5,49.50,3.2
F-0033,2026-08-05,Marketplace,paid,1,29.00,4.6
F-0034,2026-08-05, marketplace ,pending,4,19.95,
F-0035,2026-08-05,Direct,paid,4,12.50,3.6
F-0036,2026-08-05,Marketplace,pending,4,49.50,
F-0037,2026-08-05,Marketplace,paid,5,89.99,4.0
F-0038,2026-08-05,Marketplace,paid,1,29.00,3.2
F-0039,2026-08-05,,refunded,1,29.00,
F-0040,2026-08-05,Marketplace, PAID ,1,unknown,4.4
F-0041,2026-08-06,Marketplace,paid,4,19.95,5.6
F-0042,2026-08-06,Direct,paid,2,49.50,1.4
F-0043,2026-08-06,Marketplace,paid,2,12.50,5.2
F-0044,2026-08-06,Marketplace,refunded,2,29.00,
F-0045,2026-08-06, direct ,pending,3,49.50,
F-0046,2026-08-06,Marketplace,paid,2,29.00,4.7
F-0047,2026-08-06,Direct,pending,5,19.95,
F-0048,2026-08-06,Direct,paid,1,19.95,2.2
F-0049,2026-08-07,Direct,paid,1,19.95,4.4
F-0050,2026-08-07,Direct,paid,3,19.95,0.8
F-0051,2026-08-07,Direct,settled,5,29.00,2.2
F-0052,2026-08-07,Partner,pending,3,12.50,
F-0053,2026-08-07,Direct, PAID ,4,29.00,2.0
F-0054,2026-08-07,Direct,paid,4,89.99,1.4
F-0055,2026-08-07,Direct,paid,5,19.95,1.7
F-0056,2026-08-07, direct ,paid,1,89.99,2.6
F-0057,2026-08-08,Direct,paid,2,12.50,1.9
F-0058,2026-08-08,,refunded,2,49.50,
F-0059,2026-08-08,Direct,paid,2,49.50,3.3
F-0060,2026-08-08,Direct,paid,1,12.50,0.5
F-0061,2026-08-08,Direct,paid,1,29.00,2.0
F-0062,2026-08-08,Direct,paid,2,29.00,-2
F-0063,2026-08-08,Direct,paid,5,49.50,3.0
F-0064,2026-08-08,Partner,pending,1,49.50,
F-0065,2026-08-09,Marketplace,paid,5,49.50,3.9
F-0066,2026-08-09,Direct, PENDING ,5,89.99,
F-0067,2026-08-09, direct ,paid,2,19.95,1.4
F-0068,2026-08-09,Direct,paid,2,49.50,2.5
F-0069,2026-08-09,Direct,paid,4,89.99,1.1
F-0070,2026-08-09,Marketplace,paid,1,12.50,
F-0071,2026-08-09,Marketplace,paid,5,89.99,4.9
F-0072,2026-08-09,Direct,paid,2,49.50,3.4
F-0073,2026-08-10,Direct,paid,,19.95,3.2
F-0074,2026-08-10,Direct,paid,5,89.99,3.7
F-0075,2026-08-10,Marketplace,pending,1,29.00,
F-0076,2026-08-10,Marketplace,paid,4,19.95,2.8
F-0077,2026-08-10,,paid,4,89.99,5.2
F-0078,2026-08-10, direct ,paid,1,12.50,2.0
F-0079,2026-08-10,Direct, PAID ,4,12.50,3.4
F-0080,2026-08-10,Marketplace,paid,1,29.00,4.4
F-0081,2026-08-11,Direct,paid,3,89.99,2.7
F-0082,2026-08-11,Direct,paid,1,12.50,0.5
F-0083,2026-08-11,Direct,paid,4,89.99,4.0
F-0084,2026-08-11,Direct,paid,3,49.50,1.6
F-0085,2026-08-11,Direct,pending,1,29.00,
F-0086,2026-08-11,Marketplace,refunded,5,49.50,
F-0087,2026-08-11,Marketplace,paid,5,49.50,3.2
F-0088,2026-08-11,Direct,pending,4,19.95,
F-0089,2026-08-12, direct ,paid,1,89.99,2.4
F-0090,2026-08-12,Direct,pending,4,29.00,
F-0091,2026-08-12,Direct,paid,4,12.50,1.6
F-0092,2026-08-12,Marketplace, PAID ,1,89.99,3.7
F-0093,2026-08-12,Marketplace,paid,3,12.50,
F-0094,2026-08-12,Direct,paid,5,29.00,3.3
F-0095,2026-08-12,Direct,pending,1,12.50,
F-0096,2026-08-12,,paid,2,49.50,3.6
F-0097,2026-08-13,Direct,paid,1,89.99,2.5
F-0098,2026-08-13,Direct,refunded,5,19.95,
F-0099,2026-08-13,Marketplace,paid,5,49.50,1.7
F-0100,2026-08-13, direct ,paid,1,9999.00,3.5
F-0101,2026-08-13,Direct,refunded,4,89.99,
F-0102,2026-08-13,Marketplace,paid,1,12.50,4.9
F-0103,2026-08-13,Direct,paid,2,89.99,1.2
F-0104,2026-08-13,Partner,paid,5,19.95,4.4
F-0105,2026-08-14,Direct, PAID ,3,12.50,3.2
F-0106,2026-08-14,Marketplace,pending,1,49.50,
F-0107,2026-08-14,Direct,refunded,1,12.50,
F-0108,2026-08-14,Marketplace,paid,5,19.95,4.7
F-0109,2026-08-14,Direct,paid,5,19.95,3.7
F-0110,2026-08-14,Partner,paid,5,12.50,3.2
F-0111,2026-08-14, direct ,paid,3,89.99,1.4
F-0112,2026-08-14,Direct,paid,2,49.50,2.7
F-0113,2026-08-15,Direct,paid,4,49.50,1.8
F-0114,2026-08-15,Direct,pending,5,29.00,
F-0115,2026-08-15,,paid,4,49.50,3.7
F-0116,2026-08-15,Direct,paid,4,29.00,
F-0117,2026-08-15,Direct,paid,1,19.95,2.6
F-0118,2026-08-15,Direct, PENDING ,5,29.00,
F-0119,2026-08-15,Direct,paid,1,29.00,1.8
F-0120,2026-08-15,Direct,paid,4,19.95,3.0
F-0121,2026-08-16,Direct,paid,4,19.95,0.9
F-0122,2026-08-16, direct ,paid,5,89.99,1.5
F-0123,2026-08-16,Marketplace,paid,4,89.99,3.6
F-0124,2026-08-16,Direct,pending,1,49.50,
F-0125,2026-08-16,Marketplace,paid,5,29.00,3.2
F-0126,2026-08-16,Direct,paid,5,12.50,1.3
F-0127,2026-08-16,Direct,paid,5,29.00,2.1
F-0128,2026-08-16,Marketplace,pending,3,12.50,
F-0129,2026-08-17,Direct,refunded,5,49.50,
F-0130,2026-08-17,Marketplace,paid,4,12.50,4.7
F-0131,2026-08-17,Direct, PAID ,1,19.95,2.9
F-0132,2026-08-17,Direct,paid,1,29.00,2.5
F-0133,2026-08-17, direct ,pending,4,29.00,
F-0134,2026-08-17,,paid,3,12.50,3.3
F-0135,2026-08-17,Partner,paid,5,29.00,4.5
F-0136,2026-08-17,Partner,paid,2,19.95,2.8
F-0137,2026-08-18,Marketplace,refunded,4,29.00,
F-0138,2026-08-18,Marketplace,paid,5,19.95,4.1
F-0139,2026-08-18,Direct,paid,3,89.99,
F-0140,2026-08-18,Marketplace,pending,2,49.50,
F-0141,2026-08-18,Partner,paid,1,89.99,4.0
F-0142,2026-08-18,Marketplace,paid,5,89.99,5.5
F-0143,2026-08-18,Direct,paid,4,19.95,0.6
F-0144,2026-08-18, marketplace , PAID ,1,19.95,4.0
F-0145,2026-08-19,Partner,paid,3,89.99,3.0
F-0146,2026-08-19,Marketplace,paid,5,12.50,3.6
F-0147,2026-08-19,Direct,paid,5,12.50,2.7
F-0148,2026-08-19,Direct,pending,4,19.95,
F-0149,2026-08-19,Marketplace,paid,5,19.95,4.3
F-0150,2026-08-19,Partner,paid,5,29.00,2.1
F-0151,2026-08-19,Marketplace,paid,2,89.99,3.7
F-0152,2026-08-19,Direct,paid,2,19.95,2.3
F-0153,2026-08-20,,paid,1,19.95,2.7
F-0154,2026-08-20,Direct,paid,1,12.50,2.6
F-0155,2026-08-20, marketplace ,paid,1,19.95,3.5
F-0156,2026-08-20,Marketplace,refunded,4,12.50,
F-0157,2026-08-20,Marketplace, PENDING ,5,89.99,
F-0158,2026-08-20,Direct,paid,2,19.95,1.7
F-0159,2026-08-20,Direct,paid,5,89.99,1.6
F-0160,2026-08-20,Direct,paid,5,29.00,2.7
F-0161,2026-08-21,Marketplace,paid,5,12.50,5.0
F-0162,2026-08-21,Direct,paid,1,29.00,
F-0163,2026-08-21,Direct,paid,2,12.50,2.6
F-0164,2026-08-21,Direct,pending,1,49.50,
F-0165,2026-08-21,Direct,pending,5,19.95,
F-0166,2026-08-21, marketplace ,paid,5,29.00,3.5
F-0167,2026-08-21,Direct,paid,4,12.50,1.4
F-0168,2026-08-21,Marketplace,refunded,3,49.50,
F-0169,2026-08-22,Direct,paid,3,12.50,3.2
F-0170,2026-08-22,Direct, PAID ,3,49.50,3.4
F-0171,2026-08-22,Marketplace,paid,2,12.50,5.6
F-0172,2026-08-22,,paid,4,19.95,2.8
F-0173,2026-08-22,Marketplace,paid,1,89.99,3.2
F-0174,2026-08-22,Direct,paid,4,49.50,2.4
F-0175,2026-08-22,Partner,paid,4,89.99,5.3
F-0176,2026-08-22,Direct,paid,4,89.99,4.2
F-0177,2026-08-23, marketplace ,paid,2,49.50,4.0
F-0178,2026-08-23,Direct,paid,3,19.95,3.5
F-0179,2026-08-23,Direct,paid,3,29.00,3.0
F-0180,2026-08-23,Direct,paid,2,19.95,1.9
F-0181,2026-08-23,Direct,paid,1,12.50,2.1
F-0182,2026-08-23,Marketplace,paid,2,29.00,3.9
F-0183,2026-08-23,Direct, PAID ,3,29.00,2.1
F-0184,2026-08-23,Marketplace,pending,2,19.95,
